country_code,year,tot_views,richness,exp_shannon,inv_simpson,lex_div_q_0,lex_div_q_1,lex_div_q_2
BA,2021,167900000,96,4.933137682008073,3.6507952781559116,1.9796187933404321,1.9003384098198477,1.866576775056066
BA,2022,169227000,255,5.0970544350332,3.647690966085783,2.0096542343739254,1.921494657645498,1.8854672956547454
BA,2023,189025000,272,5.5488345022507986,3.6740447892631187,2.1171405827238767,1.9824728833761256,1.9302107148180914
BA,2024,170329000,110,5.112858093363183,3.5876546161421916,2.0281576267074213,1.9349790811987944,1.8980449037280407
BB,2015,10461000,26,1.188462564759929,1.0484783248938816,1.152067481391228,1.0614019558982084,1.0383247009219814
BB,2016,16269000,27,1.2130342398299794,1.0554871148340141,1.1755511438366013,1.07082345978801,1.0440799820191988
BB,2017,14550000,27,1.37301425306803,1.1186849999904884,1.3444506185813654,1.1535427575116433,1.0969612451829676
BB,2018,13022000,27,1.3539807337228857,1.1072606924542507,1.313116251526671,1.1383793933528725,1.0871778876453797
BB,2019,13050000,35,1.315525417418927,1.084364317528691,1.256639580341376,1.1083019148700792,1.0676605543429196
BB,2020,14733000,66,1.3939994077803812,1.0944748222796166,1.3194227287462594,1.1253456536420767,1.0762224505211413
BB,2021,12590000,32,1.229166269096994,1.056743802310978,1.2044053714439438,1.077074330762376,1.0464948678311314
BB,2022,12126000,32,1.4076728560807574,1.113533448932703,1.4198624400012343,1.1586882760102803,1.0942057620752121
BB,2023,11742000,36,1.4358381871455106,1.1145297550678221,1.3630430189490266,1.1471890135114509,1.090875255164428
BB,2024,10880000,35,1.2748749456786432,1.0695233549125014,1.2482857661778097,1.0941340131546629,1.0568023634558057
BD,2015,133307000,181,1.5665863804329496,1.2259380851870463,1.5926450812664572,1.2975541289588706,1.1940178260700152
BD,2016,310757000,234,1.7528837926643546,1.3240345265769546,1.717135001978545,1.402874499952586,1.2755327261640452
BD,2017,333286000,267,2.0312737024757226,1.4888716157904212,1.909407094708153,1.568340665229967,1.4078528626678228
BD,2018,346369000,173,2.09519957753779,1.6031858742380485,1.9405876644792863,1.6523959963344497,1.4992278379651829
BD,2019,385305000,194,2.0465941058115455,1.6315409125590832,1.871553113783215,1.6489375711823406,1.5236073249107396
BD,2020,462324000,296,2.181986835700222,1.6937152513816551,1.927904434779607,1.6968180340288062,1.571051964947881
BD,2021,552446000,288,2.18148520908158,1.7132817807000154,1.924791876131677,1.7072860175490907,1.5869351975855053
BD,2022,598348000,271,2.127607164698159,1.718008480128878,1.8994729843960794,1.703488771320754,1.5914127902903241
BD,2023,266830000,205,2.2124625862942255,1.75613697463735,1.9472963626199187,1.7364211835395662,1.6191593256893722
BE,2015,756265000,266,4.146530617958909,3.3548955074850926,2.318274649357595,2.203374721131505,2.154208569558634
BE,2016,1144691000,272,4.179649080891766,3.365723872188366,2.327813939245603,2.2111265584793367,2.1610529037762736
BE,2017,1126483000,285,4.336745205151404,3.4248513114386423,2.3682405920852987,2.23463707648784,2.176109477888956
BE,2018,1124181000,278,4.262128942327616,3.412039055910946,2.3451469866851977,2.2216381375377425,2.1659411475975108
BE,2019,1141341000,285,4.249277944578183,3.3955238956104967,2.339680583376133,2.2170523557571458,2.1619786141993482
BE,2020,1250840000,285,4.177295327663706,3.36339785209032,2.331333482728039,2.2119471691273045,2.160150752736146
BE,2021,1231102000,254,4.443416411518534,3.4718753259941546,2.4151609797246945,2.2686758076584868,2.203882387987543
BE,2022,1144964000,301,4.6953551088502214,3.574022824975397,2.5038467962712354,2.3273850174314403,2.248518910989851
BE,2023,1255615000,320,5.215227304820598,3.758226781663462,2.681321726964142,2.445700303483647,2.334133152616059
BE,2024,1203036000,327,4.531714018352518,3.4377705388811277,2.464516362486063,2.276676318615308,2.189601922734311
BF,2015,4958000,25,1.8826560882162615,1.386698711512001,1.7718204520932441,1.4456762713259732,1.3131739760541505
BF,2016,11637000,31,1.958733776432053,1.4472089557315853,1.7947335499746249,1.4939453368395028,1.3594008274019185
BF,2017,15351000,38,2.045588842426024,1.4546164086045124,1.836056298062737,1.5084720797298024,1.3639366113976341
BF,2018,14993000,49,2.0451463292115544,1.4350446025286414,1.8348509409229585,1.4952642491877153,1.3483125908019713
BF,2019,15524000,43,1.9025286346859887,1.3688112195427116,1.7528326121847773,1.4306989421259115,1.2986424138782167
BF,2020,14733000,46,1.8464548000536305,1.339416919475018,1.7264055485552983,1.4034532898861145,1.2766106043326642
BF,2021,17564000,54,1.7686849200392125,1.3043461620509593,1.6816620282536339,1.3688285765061645,1.2496254058942793
BF,2022,16426000,46,1.8478435391417996,1.3460911724177853,1.733726472334318,1.4102760058532415,1.2821351354014547
BF,2023,15506000,56,1.8906378488613254,1.3578033744963196,1.760804268486004,1.4242117943880843,1.291357884185997
BF,2024,17013000,43,1.7999226972763882,1.3301373129924898,1.7010594871347196,1.3918680475413832,1.2694286691919843
BG,2015,284688000,244,3.811788773348569,2.6034676535467463,2.478899659600301,2.162241198159573,2.0460853863358395
BG,2016,425639000,262,3.477767099006083,2.491927498845036,2.2701947729243077,2.053614674841053,1.966234804569737
BG,2017,453729000,285,3.377827008588607,2.4532231098699544,2.1952437170402734,2.016408488327515,1.944438085253298
BG,2018,557097000,205,2.956248917058118,2.311629422961216,2.043277675086187,1.9341744264913432,1.8874524677948186
BG,2019,579519000,283,2.9490228277285557,2.30024712977689,2.0517310884864646,1.9344888428213367,1.8866433363640596
BG,2020,532840000,299,2.94039363595927,2.255641840296268,2.0432931156186576,1.912338958336121,1.8537555970441364
BG,2021,518130000,283,2.898511588714264,2.2138971591909558,2.02994795310636,1.8930158375095054,1.8272384752792372
BG,2022,508265000,298,3.0230084790446123,2.298529329665474,2.067242691615163,1.928258198915036,1.8645932967713825
